author,content
"
夏有凉风秋望月
","


这几天总感觉手臂麻麻的，腿也有点肿胀的疼最近工作比较忙，所以我就在网 上查了查症状，居然发现是脑 血管 疾 病，包括脑 梗 塞和脑 出 血。想想平常的我又不运动又能吃的，越来越感觉我的症状就像脑梗塞，吓的我赶紧跟领导请假去医院，一系列检查以后，帅气的医生跟我说，放下手机，出去运动，一月以后就好了！我痴痴地说，你真帅！我们一起运动好吗？被一脸嫌弃的对我说，脑科在三楼！谢谢！下 一位！

"
"
狐小乔
","


和老公一起逛街，看见一妹子迎面走来，长得那叫一个漂亮，把老公眼睛都看直了。我顿时火就上来了，可是为了显示我温文尔雅的素养，就嗲声问老公:＂老公，你看呀，长得比我好看的，又没我聪明；比我聪明的，又没有我好看。我是不是太完美了？＂＂对，长得好看的，也没你丑；聪明的也没你蠢。你最棒！”

"
"
寒山宽洪
","


今早碰见老胡，他兴高采烈，满面红光，问他为啥这么高兴，说昨天晚上母猪生仔了，他提着LED射灯跪在猪圈里面照着，两眼紧紧盯着那里数数，出来一只就是1500，再出来一只又是1500……生到第十二只的时候，他差点晕过去！这Tm比抱孙子还高兴呢？！！！

"
"
璃白°
","


天气好热，买了一袋子沙冰，回来冰镇饮料用，买太多了，就抓住一点点沙冰丢闺蜜，闺蜜一躲，沙冰飞出窗外，完了，可不能高空坠物砸到人。我们跑到窗外一看(三楼)，只见​上司摸着自己脖子，看了下我们，像在确认啥，我们微微一笑，她又否认了自己，囔囔一句:六月大雪必有冤情啊。。。

"
"
狐小乔
","


妹妹问姐姐：晚上我有个聚会，你能把姐夫借我吗？冒充我男朋友。姐姐：不行！人家有借钱、借车，甚至借房子的，哪有借姐夫的。妹妹：姐，那你借我500块钱吧，我租个男朋友。姐姐：你说什么？再说一遍？妹妹：借给我500……姐姐：不是这句，上一句？妹妹：把姐夫借给我参加聚会……姐姐：行！晚上早点回来。妹妹：不带这样玩的！片刻，妹妹给姐夫发信息：晚上给你请好假了，你答应的红包发过来吧。姐夫回复六个字：谢谢妹妹！红包！妹妹笑：不是一家人，不进一家门！你们两口子都这么抠？没关系，我有聊天记录
…
查看全文"
"
净心居士
","


和小门神视频连麦，我看到姥姥进来了就停止了聊天。姥姥看着视频里的小门神说道:你女朋友长得真不赖，白净的皮肤，长长的头发，就是那小胡子不怎么样，原因是雄 激  素 多 于雌 激 素，导 致 体 毛 发 育 过 盛。   我是不会同意你们在一起的。我:姥姥他是男的，我师哥！姥姥:男的也不行！

"
"
坏小孩cium
","


继上次买电动轮椅被老公打消念头之后。我便萌生了学习艺术的念头。我说我想学伦巴，老公脑袋摇得像拨浪鼓一样，说学那个容易闪腰，屁股后边挂个鸡崽子能抡死。好吧，于是我在网上买了个唢呐，到了那天老公兴冲冲的拆开快递，一看之下大惊失色，匆匆忙忙跑出去，鞋跑丢了也顾不上，出门就开始大喊：跟前儿的老少爷们注意了，家有老人的看好了，我家婆娘要学唢呐了！

"
"
耳语姐
","


我去，上了个厕所出来居然重了4两[惊呆了][惊呆了][惊呆了]

"
"
忧郁的创可贴
","


同事小李老实巴交，追一个小文员，我们鼓励他多约她逛马路，过马路多保护她点，很容易牵手的。后来，他终于约到了，但是却没成，小李说:这小文员过马路当时都快被车刮到了，我寻思着拉她会扑到我怀里不太好，本着保护她的原则，一脚踹她飞出去了，完美飞到草丛里了。。。

"
"
坏小孩cium
","


今天在二手交易网上看到了一个二手轮椅，看着成色不错。本来我是无聊，想买来代步用的，就和老公说：我想买个轮椅。老公听完出去抽了半包烟。回来语气幽怨的和我说：我最近没得罪你啊，你就这么着急送我走吗？那你直接买个唢呐回来吹得了。

"
