,录取批次,科类代码,科类名称,院校代码,院校名称,录取人数,最高分,原始最低分,第一次征集,第二次征集,第三次征集,第四次征集
0,一本,1,文史,3373,温州肯恩大学,4,562,558,559,,,
1,一本,5,理工,3373,温州肯恩大学,5,545,544,,,,
2,二本及预科,1,文史,1165,首都体育学院,3,555,550,,,,
3,二本及预科,1,文史,11R2,北京农学院(预科),2,525,519,,,,
4,二本及预科,1,文史,1203,天津科技大学,18,571,554,,,,
5,二本及预科,1,文史,1207,天津农学院,18,538,512,,,,
6,二本及预科,1,文史,1209,天津中医药大学,11,569,555,,,,
7,二本及预科,1,文史,1225,天津商业大学(中外合作办学专业),10,550,532,,,,
8,二本及预科,1,文史,1238,天津大学仁爱学院,8,509,502,,,,
9,二本及预科,1,文史,1246,天津中德应用技术大学,6,516,508,,,,
10,二本及预科,1,文史,1303,河北地质大学,17,553,542,,,,
11,二本及预科,1,文史,1314,衡水学院,4,521,498,,,,
12,二本及预科,1,文史,1323,北华航天工业学院,12,529,516,,,,
13,二本及预科,1,文史,1342,石家庄铁道大学四方学院,6,516,505,,,,
14,二本及预科,1,文史,1365,河北环境工程学院,8,524,515,,,,
15,二本及预科,1,文史,1381,张家口学院,10,529,518,,,,
16,二本及预科,1,文史,1404,山西农业大学,5,538,527,,,,
17,二本及预科,1,文史,1407,山西师范大学,7,559,552,,,,
18,二本及预科,1,文史,1409,山西大同大学,20,547,533,,,,
19,二本及预科,1,文史,1413,山西财经大学,18,569,552,,,,
20,二本及预科,1,文史,1415,山西中医药大学,14,565,548,,,,
21,二本及预科,1,文史,1422,中北大学信息商务学院,2,494,486,,,,
22,二本及预科,1,文史,1431,吕梁学院,13,521,513,,,,
23,二本及预科,1,文史,1444,山西工程技术学院,6,527,516,,,,
24,二本及预科,1,文史,1509,内蒙古财经大学,18,538,522,,,,
25,二本及预科,1,文史,1510,呼伦贝尔学院,4,519,513,,,,
26,二本及预科,1,文史,2111,大连交通大学,2,542,529,,,,
27,二本及预科,1,文史,2121,鞍山师范学院,18,530,519,,,,
28,二本及预科,1,文史,2131,辽宁师范大学,16,565,557,,,,
29,二本及预科,1,文史,2175,辽东学院,5,507,499,,,,
30,二本及预科,1,文史,21A9,大连民族大学(少数民族计划),28,554,536,,,,
31,二本及预科,1,文史,2205,长春工业大学,8,543,528,,,,
32,二本及预科,1,文史,2214,吉林工程技术师范学院,20,519,513,,,,
33,二本及预科,1,文史,2220,长春工程学院,2,517,517,,,,
34,二本及预科,1,文史,2221,长春大学,13,550,538,,,,
35,二本及预科,1,文史,2228,长春建筑学院,6,500,491,,,,
36,二本及预科,1,文史,2244,吉林师范大学博达学院,14,518,505,,,,
37,二本及预科,1,文史,2253,东北师范大学人文学院,2,528,514,,,,
38,二本及预科,1,文史,2310,哈尔滨医科大学,5,531,520,,,,
39,二本及预科,1,文史,2314,齐齐哈尔大学,19,562,530,,,,
40,二本及预科,1,文史,2316,大庆师范学院,9,542,518,,,,
41,二本及预科,1,文史,2318,哈尔滨商业大学,15,554,539,,,,
42,二本及预科,1,文史,2330,黑龙江外国语学院,15,515,483,,,,
43,二本及预科,1,文史,3109,上海应用技术大学,6,555,547,,,,
44,二本及预科,1,文史,3124,上海工程技术大学,8,571,554,,,,
45,二本及预科,1,文史,3125,上海立信会计金融学院,25,596,556,,,,
46,二本及预科,1,文史,3147,上海电机学院,5,548,540,,,,
47,二本及预科,1,文史,31R5,上海立信会计金融学院(预科),2,557,555,,,,
48,二本及预科,1,文史,31R6,上海商学院(预科),2,552,547,,,,
49,二本及预科,1,文史,3219,南京艺术学院,5,564,549,,,,
50,二本及预科,1,文史,3234,南京邮电大学通达学院,11,514,501,,,,
51,二本及预科,1,文史,3239,盐城工学院,14,528,517,,,,
52,二本及预科,1,文史,3243,淮阴工学院,18,538,517,,,,
53,二本及预科,1,文史,3247,江苏海洋大学(原淮海工学院更名),8,553,545,,,,
54,二本及预科,1,文史,3256,南京工程学院,4,547,527,,,,
55,二本及预科,1,文史,3261,常州大学,22,564,550,,,,
56,二本及预科,1,文史,3262,常州工学院,15,532,525,,,,
57,二本及预科,1,文史,3295,东南大学成贤学院,8,501,495,,,,
58,二本及预科,1,文史,32B8,南京医科大学康达学院,4,515,508,,,,
59,二本及预科,1,文史,32C0,徐州工程学院,3,527,518,,,,
60,二本及预科,1,文史,32C2,南京晓庄学院,20,559,545,,,,
61,二本及预科,1,文史,32C7,中国矿业大学徐海学院,6,507,494,,,,
62,二本及预科,1,文史,32D0,南京理工大学泰州科技学院,5,553,496,,,,
63,二本及预科,1,文史,32D1,南京工业大学浦江学院,12,509,494,,,,
64,二本及预科,1,文史,32D5,苏州大学应用技术学院,13,506,495,,,,
65,二本及预科,1,文史,32D6,扬州大学广陵学院,9,518,507,,,,
66,二本及预科,1,文史,32D8,南京财经大学红山学院,8,522,503,,,,
67,二本及预科,1,文史,32E0,常州大学怀德学院,14,498,488,,,,
68,二本及预科,1,文史,32R4,江苏师范大学(预科),5,556,549,,,,
69,二本及预科,1,文史,32R6,淮阴师范学院(预科),10,518,511,,,,
70,二本及预科,1,文史,3307,绍兴文理学院,15,547,532,,,,
71,二本及预科,1,文史,3310,丽水学院,16,549,525,,,,
72,二本及预科,1,文史,3312,嘉兴学院,8,554,549,,,,
73,二本及预科,1,文史,3317,浙江万里学院,30,533,511,,,,
74,二本及预科,1,文史,3322,宁波大学科学技术学院,4,504,496,,,,
75,二本及预科,1,文史,3331,浙江农林大学,19,565,543,,,,
76,二本及预科,1,文史,3344,湖州师范学院,7,553,546,,,,
77,二本及预科,1,文史,3349,上海财经大学浙江学院,8,534,509,,,,
78,二本及预科,1,文史,3353,衢州学院,15,539,525,,,,
79,二本及预科,1,文史,3356,浙大城市学院(原浙江大学城市学院更名),6,562,557,,,,
80,二本及预科,1,文史,3359,浙江工业大学之江学院,5,516,490,,,,
81,二本及预科,1,文史,3360,浙江师范大学行知学院,5,525,499,,,,
82,二本及预科,1,文史,3363,浙江海洋大学东海科学技术学院(原浙江海洋学院东海科学技术学院),8,497,486,,,,
83,二本及预科,1,文史,3365,温州大学瓯江学院,9,511,490,,,,
84,二本及预科,1,文史,3367,浙江外国语学院,17,581,561,,,,
85,二本及预科,1,文史,3404,安徽理工大学,4,554,544,,,,
86,二本及预科,1,文史,3413,安徽建筑大学,2,549,548,,,,
87,二本及预科,1,文史,3504,福建工程学院,14,542,514,,,,
88,二本及预科,1,文史,3508,闽江学院,28,555,537,,,,
89,二本及预科,1,文史,3509,武夷学院,15,530,509,,,,
90,二本及预科,1,文史,3512,三明学院,14,531,502,,,,
91,二本及预科,1,文史,3515,莆田学院,19,538,505,,,,
92,二本及预科,1,文史,3523,集美大学诚毅学院,19,541,523,,,,
93,二本及预科,1,文史,3536,泉州师范学院,15,548,538,,,,
94,二本及预科,1,文史,3546,福建中医药大学,9,583,555,,,,
95,二本及预科,1,文史,3549,福建商学院,4,540,531,,,,
96,二本及预科,1,文史,3557,厦门华厦学院,5,508,500,,,,
97,二本及预科,1,文史,3562,厦门工学院,11,504,484,,,,
98,二本及预科,1,文史,3563,福建师范大学协和学院,27,509,493,,,,
99,二本及预科,1,文史,3565,福建江夏学院,23,535,519,,,,
100,二本及预科,1,文史,3590,武夷学院(闽台合作项目),5,513,501,,,,
101,二本及预科,1,文史,35A2,厦门理工学院(中外合作办学和闽台合作项目),6,547,526,,,,
102,二本及预科,1,文史,35R6,三明学院(预科),4,510,503,,,,
103,二本及预科,1,文史,3602,华东交通大学,14,564,554,,,,
104,二本及预科,1,文史,3603,东华理工大学,11,551,541,,,,
105,二本及预科,1,文史,3606,景德镇陶瓷大学,6,535,527,,,,
106,二本及预科,1,文史,3611,上饶师范学院,10,544,536,,,,
107,二本及预科,1,文史,3613,赣南师范大学,9,556,553,,,,
108,二本及预科,1,文史,3614,井冈山大学,7,543,519,,,,
109,二本及预科,1,文史,3619,萍乡学院,2,526,525,,,,
110,二本及预科,1,文史,3620,江西科技师范大学,9,559,544,,,,
111,二本及预科,1,文史,3621,南昌工程学院,8,531,518,,,,
112,二本及预科,1,文史,3623,新余学院,6,531,521,,,,
113,二本及预科,1,文史,3645,南昌大学科学技术学院,4,486,484,,,,
114,二本及预科,1,文史,3648,江西理工大学应用科学学院,7,507,497,,,,
115,二本及预科,1,文史,3650,江西农业大学南昌商学院,7,504,499,,,,
116,二本及预科,1,文史,3651,江西中医药大学科技学院,5,541,509,,,,
117,二本及预科,1,文史,3653,江西财经大学现代经济管理学院,6,513,503,,,,
118,二本及预科,1,文史,3662,江西师范大学科学技术学院,6,515,510,,,,
119,二本及预科,1,文史,3707,山东建筑大学,5,547,533,,,,
120,二本及预科,1,文史,3710,山东农业大学,8,550,538,,,,
121,二本及预科,1,文史,3716,曲阜师范大学,13,569,556,,,,
122,二本及预科,1,文史,3719,鲁东大学,17,558,540,,,,
123,二本及预科,1,文史,3721,泰山学院,3,522,519,,,,
124,二本及预科,1,文史,3722,菏泽学院,5,524,520,,,,
125,二本及预科,1,文史,3728,潍坊学院,24,542,529,,,,
126,二本及预科,1,文史,3729,山东交通学院,7,536,532,,,,
127,二本及预科,1,文史,3730,山东工商学院,21,548,526,,,,
128,二本及预科,1,文史,3740,青岛理工大学琴岛学院,5,491,489,,,,
129,二本及预科,1,文史,3745,聊城大学东昌学院,5,505,500,,,,
130,二本及预科,1,文史,3765,山东政法学院,12,575,553,,,,
131,二本及预科,1,文史,3791,山东中医药大学,4,588,557,,,,
132,二本及预科,1,文史,3795,烟台南山学院,10,504,490,,,,
133,二本及预科,1,文史,3798,中国石油大学胜利学院,6,509,499,,,,
134,二本及预科,1,文史,37A7,山东女子学院,10,524,501,,,,
135,二本及预科,1,文史,4107,河南农业大学,3,544,539,,,,
