,admission_num,highest_score
0,1,672
1,5,624
2,5,627
3,2,642
4,5,595
5,5,631
6,10,676
7,8,663
8,5,615
9,5,627
10,25,657
11,1,608
12,7,641
13,13,622
14,48,648
15,6,621
16,2,577
17,4,641
18,22,646
19,6,601
20,1,575
21,6,616
22,5,651
23,2,634
24,5,710
25,39,682
26,6,635
27,3,588
28,6,691
29,2,663
30,17,664
31,1,551
32,6,650
33,29,705
34,20,690
35,20,554
36,5,628
37,5,678
38,1,664
39,28,527
40,2,526
41,39,671
42,22,641
43,3,632
44,5,514
45,8,680
46,30,677
47,14,653
48,12,474
49,2,626
50,22,658
51,89,591
52,18,673
53,11,602
54,46,660
55,4,607
56,1,546
57,4,673
58,3,626
59,3,688
60,25,664
61,1,584
62,1,543
63,58,610
64,2,705
65,1,553
66,10,698
67,7,677
68,1,444
69,68,668
70,6,600
71,63,585
72,2,633
73,2,652
74,5,683
75,9,673
76,1,683
77,2,645
78,2,612
79,6,651
80,4,613
81,3,623
82,4,634
83,4,634
84,6,638
85,4,621
86,3,628
87,2,610
88,7,582
89,5,592
90,3,646
91,7,654
92,12,600
93,1,592
94,6,636
95,8,627
96,2,595
97,3,675
98,4,660
99,9,641
100,3,629
101,1,612
102,2,629
103,1,605
104,3,617
105,2,614
106,9,656
107,4,645
108,6,614
109,8,601
110,4,605
111,2,613
112,5,602
113,1,608
114,3,647
115,4,591
116,4,611
117,2,601
118,3,599
119,4,601
120,14,623
121,6,646
122,5,635
123,11,640
124,7,628
125,2,637
126,12,628
127,5,591
128,4,631
129,10,635
130,3,618
131,1,576
132,10,565
133,40,613
134,4,618
135,6,700
136,10,686
137,16,713
138,20,644
139,4,628
140,18,681
141,20,666
142,23,631
143,19,660
144,24,645
145,9,674
146,7,617
147,4,607
148,12,647
149,7,623
150,14,646
151,2,568
152,6,598
153,10,611
154,6,552
155,5,703
156,5,647
157,6,601
158,5,698
159,14,669
160,26,671
161,5,581
162,10,562
163,10,597
164,20,640
165,20,551
166,2,650
167,3,621
168,10,573
169,10,613
170,8,604
171,30,674
172,26,638
173,21,626
174,5,646
175,4,660
176,3,618
177,13,640
178,4,619
179,2,611
180,3,697
181,5,629
182,3,596
183,15,681
184,25,646
185,20,634
186,31,606
187,8,584
188,5,628
189,10,579
190,24,594
191,4,593
192,8,619
193,10,688
194,18,590
195,21,612
196,15,644
197,14,598
198,15,649
199,9,614
200,14,631
201,8,658
202,5,578
203,10,587
204,14,588
205,80,606
206,140,608
207,7,590
208,2,601
209,8,614
210,9,656
211,8,591
212,8,645
213,7,600
214,6,643
215,60,600
216,50,579
217,12,571
218,17,639
219,17,597
220,19,621
221,10,666
222,8,645
223,6,592
224,4,668
225,16,653
226,15,626
227,10,644
228,17,575
229,13,584
230,17,633
231,4,596
232,12,553
233,18,623
234,10,569
235,10,564
236,8,583
237,15,599
238,10,571
239,12,550
240,22,623
241,5,643
242,6,692
243,18,699
244,4,617
245,8,692
246,13,640
247,10,581
248,18,625
249,24,622
250,8,596
251,10,579
252,21,695
253,11,600
254,14,599
255,2,613
256,27,618
257,10,619
258,7,572
259,8,580
260,23,605
261,30,597
262,18,641
263,22,676
264,35,679
265,42,629
266,24,611
267,20,657
268,16,582
269,33,653
270,38,660
271,35,646
272,43,615
273,34,659
274,13,649
275,170,649
276,75,565
277,60,577
278,29,669
279,23,649
280,30,610
281,26,611
282,19,648
283,7,571
284,9,622
285,3,601
286,9,618
287,19,603
288,17,608
289,44,640
290,15,622
291,14,567
292,11,620
293,24,637
294,11,615
295,60,600
296,26,643
297,23,638
298,10,582
299,4,570
300,5,598
301,15,577
302,20,639
303,5,589
304,12,567
305,10,609
306,12,503
307,176,570
308,8,472
309,86,531
310,17,659
311,8,582
312,8,618
313,2,633
314,12,649
315,3,619
316,18,650
317,4,589
318,6,600
319,43,613
320,3,649
321,2,582
322,5,581
323,6,608
324,17,660
325,1,676
326,7,667
327,8,667
328,6,620
329,8,604
330,8,601
331,6,596
332,25,602
333,45,606
334,15,596
335,4,620
336,14,620
337,3,595
338,16,647
339,19,619
340,35,650
341,5,610
342,28,617
343,10,573
344,5,593
345,2,612
346,4,597
347,12,596
348,8,583
349,26,667
350,5,658
351,24,617
352,10,584
